Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABCB6	921.446054244151	0.720493240986516	0.038181648071545	18.8701451450302	2.00746384281128e-79	5.41826109067799e-78
ABCB7	616.968459322673	-0.0557916622301124	0.03065086504644	-1.82023124455316	0.0687237968669234	0.0940549390820502
ABCB8	1514.13179950317	0.316538826878446	0.0400963731671022	7.89445034241042	2.91597464683042e-15	8.94279791520679e-15
ABCB9	601.759886368607	0.513454700689645	0.0471139506357464	10.8981457458181	1.17629981645078e-27	5.81022574362166e-27
ABCC1	0	NA	NA	NA	NA	NA
ABCC10	1552.85300273884	0.237377563618444	0.0368188997095496	6.4471661426883	1.13960841800286e-10	2.856356357284e-10
ABCC11	6.46115455024957	-0.244739890588287	0.16893043761392	-1.44876136026845	0.147404237977003	0.190675649125383
ABCC12	0.179836491691132	-0.532089261434602	0.789898120214952	-0.673617581581035	0.500554472509745	0.566869177304632
ABCC13	4.73755488372197	-0.800260919118595	0.228596328763576	-3.50076015414166	0.000463933174835434	0.000803568482306944
ABCC2	41.219714087468	-1.384371495238	0.100466463894503	-13.7794388453015	3.38896168145115e-43	2.83530402836134e-42
ABCC3	4439.68715446596	1.79935089309142	0.0676222313836359	26.6088659938372	5.35996011403557e-156	1.09682285843744e-153
ABCC4	902.93103692637	0.636711322583072	0.0319973813767699	19.8988571935241	4.16312500430931e-88	1.38224021252349e-86
ABCC5	2744.78820770662	-0.896910749775929	0.0402234683485895	-22.2981952228239	3.84705078421684e-110	2.47271655213733e-108
ABCC6	4.55271056445928	-1.12518486724269	0.29448138864632	-3.82090315593448	0.000132963859914784	0.000239810886476398
ABCC6P1	0.198934478801879	-2.55308278109237	0.764039089032649	-3.34156042241874	0.000833088818143273	0.00141438902463979
ABCC6P2	1.04825732911937	-2.38198285858345	0.444527396539189	-5.3584613167334	8.39337025380776e-08	1.82342809088789e-07
ABCC8	61.9392891696074	-1.35122896007499	0.077362171718338	-17.4662749256132	2.58853406498454e-68	4.86053016284644e-67
ABCC9	10.2186905388402	-3.58341526554052	0.274443390846103	-13.0570288265749	5.79455004061969e-39	4.19963521917554e-38
ABCD1	311.942123930156	-0.870025185341073	0.0559401058078297	-15.552798350612	1.52303123603259e-54	1.84884191328072e-53
ABCD2	1.17439636118856	-2.48311959613976	0.437022747819359	-5.68190010366724	1.33206462607481e-08	3.02459510997557e-08
ABCD3	1184.15816056852	0.897336212040291	0.0751605653863495	11.9389231231523	7.41773270777771e-33	4.37901712457387e-32
ABCD4	999.363709075247	-0.583239593382143	0.0344609235589188	-16.9246651902687	2.96025536867996e-64	4.74919689308064e-63
